original_story,reordered_story,reason
Amy was in class with friends | Everyone was at their computer working on assignments | Amy's friend Pat was on a site watching videos | She found out the site was called YouTube | Amy checked it out and decided to come back later to see more,4|2|5|1|3,not a permutation of any gold story
Since they we building a new house the Jones needed to pack | They were downsizing and needed to go through their things | They made piles for things they wanted to keep | In other piles they kept things to sell and to donate | They had a huge yard sale and what was left was donated to the needy,Since they were building a new house the Jones needed to pack | They were downsizing and needed to go through their things | They made piles for things they wanted to keep | In other piles they kept things to sell and to donate | They had a huge yard sale and what was left was donated to the needy,not a permutation of any gold story
The detectives were combing through the grass | They were looking for clues as to who had broken into the home | They found a couple scraps of clothing | They took them into evidence | They were determined to solve this crime,4|3|5|2|1,not a permutation of any gold story
"Dan had always wanted to ride a motorcycle | However, he had never taken lessons | One year on a trip to Vietnam, he rented a motorcycle | Riding the motorcycle was one of the most fun things he had ever done | When he got home, And decided to take motorcycle lessons","Dan had always wanted to ride a motorcycle | However, he had never taken lessons | One year on a trip to Vietnam, he rented a motorcycle | Riding the motorcycle was one of the most fun things he had ever done | When he got home, he decided to take motorcycle lessons",not a permutation of any gold story
"Ava's friends set er up on a date with a man they found online | Ava was hesitant | She thought the date would be a failure | She agreed to go anyways | To her surprise, she really liked the man they'd picked!","Ava was hesitant|Ava's friends set her up on a date with a man they found online|She thought the date would be a failure|She agreed to go anyways|To her surprise, she really liked the man they'd picked!",not a permutation of any gold story
Harry lived by the ocean and loved it very much | He bought a large a fishing boat for himself | He docked his boat at the local marina | Harry didn't know the laws of driving a boat but drove anyway | He was pulled over by the coast guard and arrested for speeding,Harry lived by the ocean and loved it very much | He bought a large fishing boat for himself | He docked his boat at the local marina | Harry didn't know the laws of driving a boat but drove anyway | He was pulled over by the coast guard and arrested for speeding,not a permutation of any gold story
Jamie wanted to join the basketball team | He was rather short and small for his size | To improve his chance of joining the team he began to bulk up | Jamie spent time lifting weights and eating healthy | Jamies hard work paid off he was able to join the team,Jamie wanted to join the basketball team | He was rather short and small for his size | To improve his chance of joining the team he began to bulk up | Jamie spent time lifting weights and eating healthy | Jamie's hard work paid off he was able to join the team,not a permutation of any gold story
Joan wanted a to buy her first car | Her parents told her she would have to pay for it herself | Joan picked out a car but it cost way more than her allowance | Joan got a job and saved for months | Joan went and bought her new car with her own money,Joan wanted to buy her first car | Joan picked out a car but it cost way more than her allowance | Her parents told her she would have to pay for it herself | Joan got a job and saved for months | Joan went and bought her new car with her own money,not a permutation of any gold story
Molly had been scared of storms since she was a child | Her family had just moved to Kansas | She was terrified that a tornado would destroy their home | One day their was a terrible storm | Molly hid in the basement but learned storms could not hurt her,Her family had just moved to Kansas | Molly had been scared of storms since she was a child | She was terrified that a tornado would destroy their home | One day there was a terrible storm | Molly hid in the basement but learned storms could not hurt her,not a permutation of any gold story
Kim bought new plants | She was worried about keeping them alive | She made sure to water them often | They still got droopy and started dying | Kim realized she was over-watering\ them,Kim bought new plants | She was worried about keeping them alive | She made sure to water them often | Kim realized she was over-watering them | They still got droopy and started dying,not a permutation of any gold story
Tyler decides to pull the ultimate school prank | He gets a group of friends to trash the principles house | While trashing the house someone calls the cops | The cops catch tyler and his friends | They arrest Tyler and his friends,Tyler decides to pull the ultimate school prank | He gets a group of friends to trash the principals house | While trashing the house someone calls the cops | The cops catch tyler and his friends | They arrest Tyler and his friends,not a permutation of any gold story
"Bill woke up in the middle of the night | Bill realized the his front door was unlocked | He ran downstairs and locked the door | Bill checked every room to make sure the house was secure | Bill then went back to bed, exhausted from being so worried","Bill woke up in the middle of the night | Bill realized his front door was unlocked | He ran downstairs and locked the door | Bill checked every room to make sure the house was secure | Bill then went back to bed, exhausted from being so worried",not a permutation of any gold story
"Davy stared at the stopped clock, willing it to move | Ity seemed as if time was standing still | How long had time been this way was a mystery to him | Suddenly the clock ticked over to 5:00 pm | Davy sighed heavily as he clocked out of work","Davy sighed heavily as he clocked out of work|It seemed as if time was standing still|How long had time been this way was a mystery to him|Davy stared at the stopped clock, willing it to move|Suddenly the clock ticked over to 5:00 pm",not a permutation of any gold story
"Mary didn't have enough money to eat on | She told new friends it was her birthday | They all wanted to take her to dinner to celebrate | Of course, they want to pay for it | Mary got her free meal!",1|5|2|3|4,not a permutation of any gold story
Dan was hanging out with friends | He went to grab a beer | Sam realized it was the last one | He offered it to everyone else there | One person took him up on the offer,5|4|1|2|3,not a permutation of any gold story
"Remi decided to eat at a Chinese restaurant | After she ordered her food, she waited and waited | 30 minutes passed | And Remi began to feel impatient | She then yelled at her waitress and left","4. Remi decided to eat at a Chinese restaurant | 2. After she ordered her food, she waited and waited | 5. And Remi began to feel impatient | 1. 30 minutes passed | 3. She then yelled at her waitress and left",not a permutation of any gold story
"Tim was at an ice cream shop | They had several flavors to choose from | The customer in front kept taste testing different ones | Tim got frustrated after a while | The other customer noticed, apologized and finished buyin","Tim was at an ice cream shop | They had several flavors to choose from | The customer in front kept taste testing different ones | Tim got frustrated after a while | The other customer noticed, apologized and finished buying",not a permutation of any gold story
"Randy liked to use his Hula Hoop | He was surprised when he learned there were Hula Hoop contests | He researched on the internet, looking for a contest | He found out there was a contest in a neighboring city | Randy went to the contest and had a blast, making lots of new friends","Randy liked to use his Hula Hoop|Randy researched on the internet, looking for a contest|He was surprised when he learned there were Hula Hoop contests|He found out there was a contest in a neighboring city|Randy went to the contest and had a blast, making lots of new friends",not a permutation of any gold story
Jane felt like learning something new | She browsed the internet searching for nearby classes | She found a cooking class that she though she may enjoy | She completed the signup form | Next week she attended to her first class,Jane felt like learning something new | She browsed the internet searching for nearby classes | She found a cooking class that she thought she may enjoy | She completed the signup form | Next week she attended to her first class,not a permutation of any gold story
A hockey player was skating towards the opponent's goal | There was only a few seconds left and he was losing | The player gave a mighty slap shot | The puck flew at the goal and went in | The goal was good and the game went to overtime,"""There was only a few seconds left and he was losing | A hockey player was skating towards the opponent's goal | The player gave a mighty slap shot | The puck flew at the goal and went in | The goal was good and the game went to overtime""",not a permutation of any gold story
Tim had a problem with alcohol | His family wanted him to do something about it | They sat hi down and talked about it | Tim agreed with their assessment | He decided to cut down on drinking,Tim had a problem with alcohol | His family wanted him to do something about it | They sat him down and talked about it | Tim agreed with their assessment | He decided to cut down on drinking,not a permutation of any gold story
"Shay was having an Easter egg hunt | She invited her grandchildren to search for eggs | Each grandchild found over a dozen eggs | They they clamored to see who would get a prize | To their surprise, Shay gave prizes to them all!","Shay was having an Easter egg hunt | She invited her grandchildren to search for eggs | Each grandchild found over a dozen eggs | They clamored to see who would get a prize | To their surprise, Shay gave prizes to them all!",not a permutation of any gold story
Norm riding his bicycle | The chain came off the track | His sister came over to help him | They quickly put the chain on the track | Norm was able to ride is bicycle again,Norm riding his bicycle | The chain came off the track | His sister came over to help him | They quickly put the chain on the track | Norm was able to ride his bicycle again,not a permutation of any gold story
"Phillip was listening to morse code on his ham radio | He heard someone in Japan ask how he was | Phillip texted back that he was fine | Then suddenly communication ceased | Philip waited for hours, but he never heard from his friend again","Philip was listening to morse code on his ham radio | He heard someone in Japan ask how he was | Phillip texted back that he was fine | Then suddenly communication ceased | Philip waited for hours, but he never heard from his friend again",not a permutation of any gold story
Karl woke up late for work one day | He didn't know why his alarm didn't go off | Later that day his alarm went off | Karl realized he put PM instead of AM> | He vowed to never make the same mistake again,Karl woke up late for work one day | He didn't know why his alarm didn't go off | Karl realized he put PM instead of AM | He vowed to never make the same mistake again | Later that day his alarm went off,not a permutation of any gold story
Michael had always loved Julia | Julia never really liked Michael | One day Michael was in a small store | Be bought Julia a pendant | Julia ended up breaking Michael's heart,Michael had always loved Julia | Julia never really liked Michael | One day Michael was in a small store | He bought Julia a pendant | Julia ended up breaking Michael's heart,not a permutation of any gold story
"Steve and Josie are newlyweds | But Josie suspects that Steve is already cheating | She told her friends and they all agreed Steve was up to something | They all decided to follow him one day | Unfortunately, Josie caught Steve cheating with another woman",2|4|5|3|1,not a permutation of any gold story
Christina loves technology | She reads technology blogs in her free time | Her friends and family know that she likes getting new tech | Her best friend decided to surprise her with a new camera | Christina was very happy with her new high-tech camera,Christina loves technology | She reads technology blogs in her free time | Her friends and family know that she likes getting new tech | Her best friend decided to surprise her with a new camera | Christina was very happy with her new high-tech camera.,not a permutation of any gold story
Mark wants to be a doctor real bad | He's trying to decide where to get his degree from | He is quickly finding out how expensive this will be | He will have a lot of student loans | Mark decides it's worth it because he really wants to do this,Mark wants to be a doctor real bad | He's trying to decide where to get his degree from | He is quickly finding out how expensive this will be | He will have a lot of student loans | Mark decides it's worth it because he really wants to be a doctor,not a permutation of any gold story
Cameron was in labor with her first child | She was afraid and very nervous about becoming a mom | But her labor went smoothly and quickly | Soon she was holding her baby and breastfeeding like a pro | Cameron was proud and pleased with her newfound mom skills!,Cameron was afraid and very nervous about becoming a mom | Cameron was in labor with her first child | But her labor went smoothly and quickly | Soon she was holding her baby and breastfeeding like a pro | Cameron was proud and pleased with her newfound mom skills!,not a permutation of any gold story
"Alex had a membership at a wholesale club | Over the year, he had barely visited the club | The membership was up for renewal | Alex felt like the fifty dollars was a waste of money | Alex didn't renew his membership","Alex had a membership at a wholesale Club | The membership was up for renewal | Over the year, he had barely visited the club | Alex didn't renew his membership | Alex felt like the fifty dollars was a waste of money",not a permutation of any gold story
I was never popular in high school | Guys weren't interested in me but I was very interested in Thomas | He knew I liked him but he used me and dated other girls instead | Year's went by and I got prettier and more confident | I ran into Thomas Year's later and didn't even glance his way,I was never popular in high school | Guys weren't interested in me but I was very interested in Thomas | He knew I liked him but he used me and dated other girls instead | Year's later and I got prettier and more confident | I ran into Thomas Year's later and didn't even glance his way,not a permutation of any gold story
Ted is running for president | He makes all kinds of promises | He tells the american people what they want to hear | The election comes | Ted wins the people's votes and becomes president,Ted is running for president|He makes all kinds of promises|He tells the american people what they want to hear|The election comes|Ted wins the people`s votes and becomes president,not a permutation of any gold story
Tom had to go to court downtown | He parked at a meter | The court proceedings took longer than expected | Tom wasn't able to feed the meter while inside | He went back out to find he had gotten a parking ticket,Tom had to go court downtown | He parked at a meter | Tom wasn't able to feed the meter while inside | The court proceedings took longer than expected | He went back out to find he had gotten a parking ticket,not a permutation of any gold story
"Donald was a senator | He ran as an indie candidate | Donald wanted better implementation of his policies | Ge decided to run in the next term as a Republican | He won again, and is now in a better position","Donald was a senator | Donald wanted better implementation of his policies | He ran as an indie candidate | He won again, and is now in a better position | He decided to run in the next term as a Republican",not a permutation of any gold story
"Aimee sensed her boyfriend, Jason, had commitment issues | For two years he didn't refer to her as his girlfriend | When he graduated from college, her introduced Aimee as his friend | Aimee went to the bathroom and broke down crying | Her friend told her Jason she's crying because you call her friend!","Aimee sensed her boyfriend, Jason, had commitment issues | For two years he didn't refer to her as his girlfriend | When he graduated from college, he introduced Aimee as his friend | Her friend told her Jason she's crying because you call her friend! | Aimee went to the bathroom and broke down crying",not a permutation of any gold story
John grew up stocking freezers for his parent's business | He would slide bottles of water and soft drinks onto the shelves | For many years he did this simple to task to help his parents | He eventually grew tired of it | But now he is very resilient to the cold,John grew up stocking freezers for his parent's business | He would slide bottles of water and soft drinks onto the shelves | For many years he did this simple task to help his parents | He eventually grew tired of it | But now he is very resilient to the cold,not a permutation of any gold story
"Jack went to the casino with his friends last night | Normally when they go they just play the slots | Jack had never won anything | Him and his friends tried the slots again | To his delight, jack won ten thousand dollars","Normally when they go they just play the slots|Jack went to the casino with his friends last night|Him and his friends tried the slots again|Jack had never won anything|To his delight, Jack won ten thousand dollars",not a permutation of any gold story
"Kate has a essay due in a week | She decided to work on a page every day | When it was due all she had to do was print it | However, when Kate went to print, it was gone | Kate had to pull an allnighter and rewrite her essay","Kate has an essay due in a week|She decided to work on a page every day|However, when Kate went to print, it was gone|Kate had to pull an allnighter and rewrite her essay|When it was due all she had to do was print it",not a permutation of any gold story
Jane was usually shy | She was invited to the bar by her friends | Jane decided to go | ONce there they started doing karaoke | Jane was convinced to join and had fun,Jane was usually shy|She was invited to the bar by her friends|Jane decided to go|Once there they started doing karaoke|Jane was convinced to join and had fun,not a permutation of any gold story
"Ken had too many drinks | My friends and I had to pull him out of the bar | However, he fought back and tried to go back inside | He threw his fists in the but eventually fell | We picked him up and threw him inside the backseat of my car","Ken had too many drinks | My friends and I had to pull him out of the bar | However, he fought back and tried to go back inside | He threw his fists in the bar but eventually fell | We picked him up and threw him inside the backseat of my car",not a permutation of any gold story
Andrew had a dog named Sam | Same got into a fight with another dog | Andrew was forced to surrender the dog to the county | He had to fight in court to get his dog back | Fortunately they were reunited after he won the case,Andrew had a dog named Sam | Sam got into a fight with another dog | Andrew was forced to surrender the dog to the county | He had to fight in court to get his dog back | Fortunately they were reunited after he won the case,not a permutation of any gold story
"Petey wanted a new canoe, but is was very expensive | Petey thought he might not be able to afford it, but soon got an idea | Every day, Petey would save his leftover cash and coins in a bucket | Without ever taking from the bucket, Petey continued to add to it | After 2 years, Petey had more than enough money to buy the boat","Petey wanted a new canoe, but it was very expensive|Petey thought he might not be able to afford it, but soon got an idea|Every day, Petey would save his leftover cash and coins in a bucket|Without ever taking from the bucket, Petey continued to add to it|After 2 years, Petey had more than enough money to buy the boat",not a permutation of any gold story
"Jerry and jamie were in a long distance relationship | They keep trying to make it work | After some time, Jamie cheated on Jerry | Jerry never found out until Jamie confessed | Jerry dumped her","Jerry and Jamie were in a long distance relationship|After some time, Jamie cheated on Jerry|Jerry never found out until Jamie confessed|Jerry dumped her|They keep trying to make it work",not a permutation of any gold story
My friend's name is Sam | She is very pretty | She liked to hang out with a lot of people | She started hanging out with my boyfriend | Same and I are no longer friends,My friend's name is Sam | She is very pretty | She liked to hang out with a lot of people | She started hanging out with my boyfriend | Sam and I are no longer friends,not a permutation of any gold story
Jack signed up to test experimental medicine | He signed up with many different companies | He eventually got very sick | It took a long time fore the effects to wear off | Now Jack is afraid to take medicine,Jack signed up to test experimental medicine | He signed up with many different companies | It took a long time for the effects to wear off | He eventually got very sick | Now Jack is afraid to take medicine,not a permutation of any gold story
Luke got detention at school last week | He has to stay after school for an hour every day | Apparently he got into a fight with another kid | The other kid got detention too | They both learned that fighting just makes things worse,Apparentlly he got into a fight with another kid | Luke got detention at school last week | The other kid got detention too | He has to stay after school for an hour every day | They both learned that fighting just makes things worse,not a permutation of any gold story
"Judith was six, and lived with her parents in Alabama | Her parents loved Judith's southern accent | When she was seven, Judith and her family moved to Texas | In Texas, her new teachers though her accent was a speech impediment | They required Judith to take speech therapy","Judith was six, and lived with her parents in Alabama | When she was seven, Judith and her family moved to Texas | In Texas, her new teachers thought her accent was a speech impediment | They required Judith to take speech therapy | Her parents loved Judith's southern accent",not a permutation of any gold story
Tom had a fear of height.s | He tried to conquer it often | Tom went with friends to a waterfall | It was high and they all jumped off of it | Tom joined and felt accomplished,Tom had a fear of height.|Tom went with friends to a waterfall|It was high and they all jumped off of it|He tried to conquer it often|Tom joined and felt accomplished,not a permutation of any gold story
I saw a woman walk out of our building with a dog | Our building has a no dog policy except for service animals | I recognized the dog as a service animal | Another neighbor said out the dog was supposed to wear an id collar | I said the neighbor was being too nosy,I saw a woman walk out of our building with a dog | I recognized the dog as a service animal | Another neighbor said the dog was supposed to wear an id collar | Our building has a no dog policy except for service animals | I said the neighbor was being too nosy,not a permutation of any gold story
"Maurice realized he needed more warm clothing for the upcoming winter | He went to a store to look for something warm to wear | Maurice found a terrific gray sweater that fit him well | Although it was expensive, Maurice bought the sweater | He was happy to have something warm to wear for winter","|Maurice realized he needed more warm clothing for the upcoming winter|Maurice found a terrific gray sweater that fit him well|He went to a store to look for something warm to wear|Although it was expensive, Maurice bought the sweater|Maurice was happy to have something warm to wear for winter",wrong sentence count
Renee had allows wanted to visit the Mall of America | Her friend had invited her to go to the mall with her | She was very excited for the experience | As they parked in one of the parking lots Renee was very excited | They spent the day experiencing everything the mall had to offer,Renee had always wanted to visit the Mall of America|Her friend had invited her to go to the mall with her|She was very excited for the experience|As they parked in one of the parking lots Renee was very excited|They spent the day experiencing everything the mall had to offer,not a permutation of any gold story
Lyla took out her canvas and paints | She has been feeling a bit of inspiration | Lyla decided to not think about what she was painting | She painted for hours | Her end product was better than she expected,1|4|5|2|3,not a permutation of any gold story
We had sugar ants in our apartment | They got into the cat's food if it was left in the tray for awhile | They even got into the Keurig | We had an exterminator put down some bait | They were gone within 3 weeks,We had sugar ants in our apartment | They got into the cat's food if it was left in the tray for awhile | They even got into the Keurig | We had an exterminator put down some bait | They were gone within 3 weeks |,wrong sentence count
Sara loves coffee | She wakes up every morning and drinks one cup | She mixes it was cream and sugar | Sara then takes a cup to work | Coffee helps her make it through the day,Sara loves coffee|She wakes up every morning and drinks one cup|She mixes it with cream and sugar|Sara then takes a cup to work|Coffee helps her make it through the day,not a permutation of any gold story
Randy was looking for a college that would give merit scholarships | He had worked hard through school but was not great at sports | He did not qualify for a need scholarship but couldn't afford college | He searched for school that would value his academic merit | He found one that used its football income to fund merit scholarships,4|3|5|2|1,not a permutation of any gold story
The Smith family went to the mountains to cut a fresh Christmas tree | They finally found the perfect one | Mister Smith was about to chop it down when they heard chirping | There was a bird's nest in the tree | They picked a back up tree to take home,1|4|2|3|5,not a permutation of any gold story
Ben liked bacon for breakfast | So when he came down for breakfast he was shocked | Only a box of cheerios was on the counter | He asked his mom why he didn't make him breakfast | She told him he was forty Year's old and he could do it himself,Ben liked bacon for breakfast | So when he came down for breakfast he was shocked | Only a box of cheerios was on the counter | He asked his mom why he didn't make him breakfast | She told him he was forty Years old and he could do it himself,not a permutation of any gold story
The man went to the wedding | He didn't recognize anybody | He say by himself | The bride and groom walked down the aisle | The man realized he was at the wrong wedding,The man went to the wedding | He didn't recognize anybody | He sat by himself | The man realized he was at the wrong wedding | The bride and groom walked down the aisle,not a permutation of any gold story
"The girls were headed out of town | They were going to go to a waterpark | THey loved riding water slides | When they got there, they made a beeline for the biggest ride | It was going to be a great day!","It was going to be a great day! | They were going to go to a waterpark | The girls were headed out of town | They loved riding water slides | When they got there, they made a beeline for the biggest ride",not a permutation of any gold story
Johann wakes up feeling sleepy | He decides to make a cup of coffee | Johann beings by grinding some coffee beans | He makes a delicious cup of coffee | Johann is happy not to feel sleepy any longer,Johann wakes up feeling sleepy | He decides to make a cup of coffee | Johann begins by grinding some coffee beans | He makes a delicious cup of coffee | Johann is happy not to feel sleepy any longer,not a permutation of any gold story
It was a dark night | Ed was driving home from work | Suddenly a rainstorm began obscuring his vision | Ed decided to pull over | He waited until it was safe before he drove again,It was a dark night | Ed was driving home from work | Suddenly a rainstorm began obscuring his vision | Ed decided to pull over | He waited until it was safe before he drove again |,wrong sentence count
Neil flew to Indonesia | He landed and hurried to get to his hotel | Then he checked in and took a bus to the shore | He was captivated by the gorgeous beaches | Indonesia truly was a paradise!,Neil flew to Indonesia | He landed and hurried to his hotel | Then he checked in and took a bus to the shore | He was captivated by the gorgeous beaches | Indonesia truly was a paradise!,not a permutation of any gold story
Jake always wanted to run with bulls | He thought it looked cool on television | He got his chance when his parents bought him a trip | Jake went and had a great time | He cherished the memory forever,5|1|3|4|2,not a permutation of any gold story
Dale knew he had a big test coming up | He had to study hard to pass it | Dale decided he could cram it all in in one night | Dale passed out studying | Dale woke up sleepy and totally failed his test,Dale knew he had a big test coming up | Dale decided he could cram it all in one night | He had to study hard to pass it | Dale passed out studying | Dale woke up sleepy and totally failed his test,not a permutation of any gold story
"Kim was only 13, but she wanted to learn to cook | Shew as a vegetarian so her carnivore mother was no help | She went online and wrote down some recipes | But her other refused to make a trip to the store to buy supplies | Kim eat eggs instead of meat until she made it to the grocery store","Kim was only 13, but she wanted to learn to cook | She was a vegetarian so her carnivore mother was no help | She went online and wrote down some recipes | But her other refused to make a trip to the store to buy supplies | Kim ate eggs instead of meat until she made it to the grocery store",not a permutation of any gold story
Sally was bored will all her video games | She then went to the store to look at the games they had for sale | A new video game had been released that day | Sally purchased the video game | Now she wont do anything but play her new game,Sally was bored with all her video games | A new video game had been released that day | She then went to the store to look at the games they had for sale | Sally purchased the video game | Now she wont do anything but play her new game,not a permutation of any gold story
Gina wanted to find her her stolen pencils | She was searching a boy names Dave's desk | But the pencils weren't there | She was alone and needed to look fast | When she heard the class coming she gave up her search,Gina wanted to find her stolen pencils | She was alone and needed to look fast | She was searching a boy named Dave's desk | But the pencils weren't there | When she heard the class coming she gave up her search,not a permutation of any gold story
I stopped taking my prescribed pills because they made sick | I had tried chewing my pills but I couldn't swallow them | I crumbled my pills in water | The water made my heart race | I told the doctor his pills made me sick so i stopped taking them,I had tried chewing my pills but I couldn't swallow them|I crumbled my pills in water|The water made my heart race|I stopped taking my prescribed pills because they made me sick|I told the doctor his pills made me sick so i stopped taking them,not a permutation of any gold story
Margaret was feeling overwhelmed at her job lately | Her recent promotion meant she suddenly had a lot more work to do | She realized she was in trouble and scheduled a meeting with her boss | She requested a dedicated assistant to help with the workload | Her boss agreed and Margaret soon had the assistance she needed,1. Her recent promotion meant she suddenly had a lot more work to do | 4. Margaret was feeling overwhelmed at her job lately | 3. She realized she was in trouble and scheduled a meeting with her boss | 2. She requested a dedicated assistant to help with the workload | 5. Her boss agreed and Margaret soon had the assistance she needed,not a permutation of any gold story
Carl didn't have anything to do all day | He was done with his homework and didn't like tv | Eventually he decided to play a videogame | Before he knew it night time came around | He felt unfulfilled as he went to sleep,5|1|2|3|4,not a permutation of any gold story
Ashley applied for a job at a restaurant | The manager called her the next day | She went in for an interview | The manager thought she was a good fit | She got the job and started the next day,|Ashley applied for a job at a restaurant|The manager called her the next day|She went in for an interview|The manager thought she was a good fit|She got the job and started the next day,wrong sentence count
"Butch surprised everyone by being the fastest sprinter in his school | Even though he was in the seventh grade, he outran older kids | They went to a track meet and he outran everyone there | He was fast but one eighth grader in the state was faster | He practiced his starts using a parachute and beat the other person",3|2|1|5|4,not a permutation of any gold story
I got a call from a stranger today | I ask who the person the person was | The caller stated he was selling health insurance | I told him I had health insurance | I told the caller to not call my phone number again,I got a call from a stranger today | The caller stated he was selling health insurance | I tell him I had health insurance | I ask who the person the person was | I told the caller to not call my phone number again,not a permutation of any gold story
My sister in law gave me a book of matches | She asked me to sell them on ebay | I started  the bid at $1 and fifty cents | I received one bid | With shipping I made $2 and eighty five cents  for my sister in law,My sister in law gave me a book of matches | She asked me to sell them on ebay | I started the bid at $1 and fifty cents for my sister in law | I received one bid | With shipping I made $2 and eighty five cents for my sister in law,not a permutation of any gold story
